#Dias 	 Celulas 
0 	   4000000000.000000 
1 	   4040200668.336672 
2 	   4080805360.107023 
3 	   4121818135.814068 
4 	   4163243096.769553 
5 	   4205084385.504097 
6 	   4247346186.181438 
7 	   4290032725.016866 
8 	   4333148270.699835 
9 	   4376697134.820842 
10 	   4420683672.302591 
11 	   4465112281.835485 
12 	   4509987406.317503 
13 	   4555313533.298487 
14 	   4601095195.428909 
15 	   4647336970.913133 
16 	   4694043483.967241 
17 	   4741219405.281462 
18 	   4788869452.487241 
19 	   4836998390.629006 
20 	   4885611032.640679 
21 	   4934712239.826973 
22 	   4984306922.349524 
23 	   5034400039.717912 
24 	   5084996601.285619 
25 	   5136101666.750965 
26 	   5187720346.663087 
27 	   5239857802.932989 
28 	   5292519249.349748 
29 	   5345709952.101889 
30 	   5399435230.304012 
31 	   5453700456.528711 
32 	   5508511057.343829 
33 	   5563872513.855121 
34 	   5619790362.254375 
35 	   5676270194.373030 
36 	   5733317658.241361 
37 	   5790938458.653298 
38 	   5849138357.736897 
39 	   5907923175.530571 
40 	   5967298790.565082 
41 	   6027271140.451415 
42 	   6087846222.474535 
43 	   6149030094.193126 
44 	   6210828874.045344 
45 	   6273248741.960676 
46 	   6336295939.977927 
47 	   6399976772.869441 
48 	   6464297608.771574 
49 	   6529264879.821516 
50 	   6594885082.800512 
51 	   6661164779.783545 
52 	   6728110598.795546 
53 	   6795729234.474202 
54 	   6864027448.739434 
55 	   6933012071.469581 
56 	   7002690001.184405 
57 	   7073068205.734941 
58 	   7144153723.000294 
59 	   7215953661.591428 
60 	   7288475201.562036 
61 	   7361725595.126550 
62 	   7435712167.385368 
63 	   7510442317.057373 
64 	   7585923517.219806 
65 	   7662163316.055585 
66 	   7739169337.608127 
67 	   7816949282.543758 
68 	   7895510928.921791 
69 	   7974862132.972330 
70 	   8055010829.881907 
71 	   8135965034.587002 
72 	   8217732842.575550 
73 	   8300322430.696489 
74 	   8383742057.977457 
75 	   8468000066.450699 
76 	   8553104881.987274 
77 	   8639065015.139660 
78 	   8725889061.992804 
79 	   8813585705.023748 
80 	   8902163713.969872 
81 	   8991631946.705887 
82 	   9081999350.129625 
83 	   9173274961.056732 
84 	   9265467907.124367 
85 	   9358587407.703962 
86 	   9452642774.823179 
87 	   9547643414.097105 
88 	   9643598825.668839 
89 	   9740518605.159498 
90 	   9838412444.627800 
91 	   9937290133.539267 
92 	   10037161559.745192 
93 	   10138036710.471420 
94 	   10239925673.317087 
95 	   10342838637.263386 
96 	   10446785893.692471 
97 	   10551777837.416611 
98 	   10657824967.717667 
99 	   10764937889.397049 
100 	   10873127313.836180 
