#Dias 	 Celulas
0 	   4000000000.000000 
5 	   4200000000.000000 
10 	   4410000000.000000 
15 	   4630500000.000000 
20 	   4862025000.000000 
25 	   5105126250.000000 
30 	   5360382562.500000 
35 	   5628401690.625000 
40 	   5909821775.156250 
45 	   6205312863.914062 
50 	   6515578507.109766 
55 	   6841357432.465255 
60 	   7183425304.088518 
65 	   7542596569.292944 
70 	   7919726397.757591 
75 	   8315712717.645472 
80 	   8731498353.527746 
85 	   9168073271.204134 
90 	   9626476934.764341 
95 	   10107800781.502560 
100 	   10613190820.577688 
