#Dias 	 Celulas
0 	   4000000000.000000 
1 	   4040404040.404041 
2 	   4081216202.428324 
3 	   4122440608.513459 
4 	   4164081422.740868 
5 	   4206142851.253402 
6 	   4248629142.680204 
7 	   4291544588.565863 
8 	   4334893523.803903 
9 	   4378680327.074650 
10 	   4422909421.287525 
11 	   4467585274.027803 
12 	   4512712398.007882 
13 	   4558295351.523113 
14 	   4604338738.912236 
15 	   4650847211.022461 
16 	   4697825465.679254 
17 	   4745278248.160863 
18 	   4793210351.677640 
19 	   4841626617.856202 
20 	   4890531937.228487 
21 	   4939931249.725745 
22 	   4989829545.177521 
23 	   5040231863.815678 
24 	   5091143296.783513 
25 	   5142568986.650014 
26 	   5194514127.929307 
27 	   5246983967.605361 
28 	   5299983805.661982 
29 	   5353518995.618163 
30 	   5407594945.068852 
31 	   5462217116.231164 
32 	   5517391026.496125 
33 	   5573122248.985986 
34 	   5629416413.117158 
35 	   5686279205.168847 
36 	   5743716368.857422 
37 	   5801733705.916588 
38 	   5860337076.683422 
39 	   5919532400.690326 
40 	   5979325657.262956 
41 	   6039722886.124198 
42 	   6100730188.004241 
43 	   6162353725.256809 
44 	   6224599722.481626 
45 	   6287474467.153157 
46 	   6350984310.255714 
47 	   6415135666.924965 
48 	   6479935017.095924 
49 	   6545388906.157500 
50 	   6611503945.613637 
51 	   6678286813.751149 
52 	   6745744256.314293 
53 	   6813883087.186155 
54 	   6882710189.076925 
55 	   6952232514.219117 
56 	   7022457085.069816 
57 	   7093390995.020017 
58 	   7165041409.111129 
59 	   7237415564.758717 
60 	   7310520772.483553 
61 	   7384364416.650054 
62 	   7458953956.212176 
63 	   7534296925.466846 
64 	   7610400934.814996 
65 	   7687273671.530299 
66 	   7764922900.535656 
67 	   7843356465.187531 
68 	   7922582288.068214 
69 	   8002608371.786076 
70 	   8083442799.783916 
71 	   8165093737.155471 
72 	   8247569431.470173 
73 	   8330878213.606236 
74 	   8415028498.592157 
75 	   8500028786.456725 
76 	   8585887663.087602 
77 	   8672613801.098589 
78 	   8760215960.705647 
79 	   8848702990.611765 
80 	   8938083828.900774 
81 	   9028367503.940176 
82 	   9119563135.293108 
83 	   9211679934.639503 
84 	   9304727206.706570 
85 	   9398714350.208656 
86 	   9493650858.796623 
87 	   9589546322.016792 
88 	   9686410426.279589 
89 	   9784252955.837969 
90 	   9883083793.775726 
91 	   9982912923.005785 
92 	   10083750427.278572 
93 	   10185606492.200579 
94 	   10288491406.263212 
95 	   10392415561.882032 
96 	   10497389456.446499 
97 	   10603423693.380302 
98 	   10710528983.212427 
99 	   10818716144.659018 
100 	   10927996105.716181 
